code,label,type
A,Amsterdam Centrum,stadsdeel
A00,Burgwallen-Oude Zijde,buurtcombinatie
A00a,Kop Zeedijk,buurt
A00b,Oude Kerk e.o.,buurt
A00c,Burgwallen Oost,buurt
A00d,Nes e.o.,buurt
A00e,BG-terrein e.o.,buurt
A01,Burgwallen-Nieuwe Zijde,buurtcombinatie
A01a,Stationsplein e.o.,buurt
A01b,Hemelrijk,buurt
A01c,Nieuwendijk Noord,buurt
A01d,Spuistraat Noord,buurt
A01e,Nieuwe Kerk e.o.,buurt
A01f,Spuistraat Zuid,buurt
A01g,Begijnhofbuurt,buurt
A01h,Kalverdriehoek,buurt
A02,Grachtengordel-West,buurtcombinatie
A02a,Langestraat e.o.,buurt
A02b,Leliegracht e.o.,buurt
A02c,Felix Meritisbuurt,buurt
A02d,Leidsegracht Noord,buurt
A03,Grachtengordel-Zuid,buurtcombinatie
A03a,Spiegelbuurt,buurt
A03b,Gouden Bocht,buurt
A03c,Van Loonbuurt,buurt
A03d,Amstelveldbuurt,buurt
A03e,Rembrandtpleinbuurt,buurt
A03f,Reguliersbuurt,buurt
A03g,Leidsegracht Zuid,buurt
A04,Nieuwmarkt/Lastage,buurtcombinatie
A04a,Oosterdokseiland,buurt
A04b,Scheepvaarthuisbuurt,buurt
A04c,Rapenburg,buurt
A04d,Lastage,buurt
A04e,Nieuwmarkt,buurt
A04f,Uilenburg,buurt
A04g,Valkenburg,buurt
A04h,Zuiderkerkbuurt,buurt
A04i,Waterloopleinbuurt,buurt
A05,Haarlemmerbuurt,buurtcombinatie
A05a,Westerdokseiland,buurt
A05b,Haarlemmerbuurt Oost,buurt
A05c,Haarlemmerbuurt West,buurt
A05d,Westelijke Eilanden,buurt
A05f,Planciusbuurt Noord,buurt
A05g,Planciusbuurt Zuid,buurt
A06,Jordaan,buurtcombinatie
A06a,Driehoekbuurt,buurt
A06c,Bloemgrachtbuurt,buurt
A06d,Marnixbuurt Noord,buurt
A06e,Zaagpoortbuurt,buurt
A06f,Marnixbuurt Midden,buurt
A06g,Elandsgrachtbuurt,buurt
A06h,Passeerdersgrachtbuurt,buurt
A06i,Groenmarktkadebuurt,buurt
A06j,Marnixbuurt Zuid,buurt
A06k,Anjeliersbuurt Noord,buurt
A06l,Anjeliersbuurt Zuid,buurt
A07,De Weteringschans,buurtcombinatie
A07a,Leidsebuurt Noordwest,buurt
A07b,Leidsebuurt Zuidwest,buurt
A07c,Leidsebuurt Noordoost,buurt
A07d,Leidsebuurt Zuidoost,buurt
A07e,Weteringbuurt,buurt
A07f,Den Texbuurt,buurt
A07g,Utrechtsebuurt Zuid,buurt
A07h,Frederikspleinbuurt,buurt
A08,Weesperbuurt/Plantage,buurtcombinatie
A08a,Weesperbuurt,buurt
A08b,Sarphatistrook,buurt
A08d,de Plantage,buurt
A08e,Alexanderplein e.o.,buurt
A09,Oostelijke Eilanden/Kadijken,buurtcombinatie
A09a,Marine-Etablissement,buurt
A09b,Kattenburg,buurt
A09c,Wittenburg,buurt
A09d,Oostenburg,buurt
A09e,Czaar Peterbuurt,buurt
A09f,Het Funen,buurt
A09h,Kazernebuurt,buurt
A09i,Kadijken,buurt
B,Havens West,stadsdeel
B10,Westelijk Havengebied,buurtcombinatie
B10a,Coenhaven/Mercuriushaven,buurt
B10b,Alfa-driehoek,buurt
B10c,Petroleumhaven,buurt
B10d,Westhaven Noord,buurt
B10e,Vervoerscentrum,buurt
B10f,Amerikahaven,buurt
B10g,Afrikahaven,buurt
B10h,Westhaven Zuid,buurt
