"name","city","link",
"Historische Tuin Aalsmeer","Aalsmeer","https://www.museumkaart.nl/museum/Historische+Tuin+Aalsmeer.aspx",
"Nationaal Onderduikmuseum","Aalten","https://www.museumkaart.nl/museum/Nationaal+Onderduikmuseum.aspx",
"Gemeentelijk Archeologisch Museum","Aardenburg","https://www.museumkaart.nl/museum/Gemeentelijk+Archeologisch+Museum.aspx",
"Nationaal Biermuseum De Boom","Alkmaar","https://www.museumkaart.nl/museum/Nationaal+Biermuseum+De+Boom.aspx",
"Grote Kerk Alkmaar","Alkmaar","https://www.museumkaart.nl/museum/Grote+Kerk+Alkmaar.aspx",
"Het Hollands Kaasmuseum","Alkmaar","https://www.museumkaart.nl/museum/Het+Hollands+Kaasmuseum.aspx",
"Stedelijk Museum Alkmaar","Alkmaar","https://www.museumkaart.nl/museum/Stedelijk+Museum+Alkmaar.aspx",
"Stadsmuseum Almelo","Almelo","https://www.museumkaart.nl/museum/Stadsmuseum+Almelo.aspx",
"Veiligheidsmuseum PIT","Almere","https://www.museumkaart.nl/museum/Veiligheidsmuseum+PIT+.aspx",
"Museumpark Archeon","Alphen a/d rijn","https://www.museumkaart.nl/museum/Museumpark+Archeon.aspx",
"Kasteel Amerongen","Amerongen","https://www.museumkaart.nl/museum/Kasteel+Amerongen.aspx",
"Kunsthal KAdE","Amersfoort","https://www.museumkaart.nl/museum/Kunsthal+KAdE.aspx",
"Mondriaanhuis","Amersfoort","https://www.museumkaart.nl/museum/Mondriaanhuis.aspx",
"Museum Flehite","Amersfoort","https://www.museumkaart.nl/museum/Museum+Flehite.aspx",
"Museum Nederlandse Cavalerie","Amersfoort","https://www.museumkaart.nl/museum/Museum+Nederlandse+Cavalerie.aspx",
"Kasteel Ammersoyen","Ammerzoden","https://www.museumkaart.nl/museum/Kasteel+Ammersoyen.aspx",
"Cobra Museum voor Moderne Kunst","Amstelveen","https://www.museumkaart.nl/museum/Cobra+Museum+voor+Moderne+Kunst.aspx",
"Museum Jan van der Togt","Amstelveen","https://www.museumkaart.nl/museum/Museum+Jan+van+der+Togt.aspx",
"Allard Pierson Museum","Amsterdam","https://www.museumkaart.nl/museum/Allard+Pierson+Museum.aspx",
"Amsterdam Museum","Amsterdam","https://www.museumkaart.nl/museum/Amsterdam+Museum.aspx",
"Amsterdam Pipe Museum","Amsterdam","https://www.museumkaart.nl/museum/Amsterdam+Pipe+Museum.aspx",
"Anne Frank Huis","Amsterdam","https://www.museumkaart.nl/museum/Anne+Frank+Huis.aspx",
"Cromhouthuis","Amsterdam","https://www.museumkaart.nl/museum/Cromhouthuis+.aspx",
"De Appel","Amsterdam","https://www.museumkaart.nl/museum/De+Appel.aspx",
